provinsi,year,wilayah,tpt,pe,defis,ginim,idi,popd,pvty (Head Count Index ),ginis,sch,hdi,nac,shuc,internet,pop,exp,psectorsize,gdpc,femaleprof,glroadprov,tlroadprov,pgi
SUMATERA SELATAN,2010,KBI,6.65,0,0.003396365,0.309,73.65,82,15.47,0.34,7.34,64.44,3160,106154,17.69,7450,3396364.861,0.081281517,25932,50.01,0.507317073,1025,2.63
SUMATERA SELATAN,2011,KBI,6.6,4.73,0.003362396,0.34,67.92,83,14.24,0.401,7.42,65.12,3461,117053,20.03,7599,3362395.995,0.079251984,27157.98,51.79,0.507317073,1025,2.54
SUMATERA SELATAN,2012,KBI,5.66,5.23,0.003822597,0.448,73.17,84,13.48,0.397,7.5,65.79,4609,117053,23.5,7714,3822596.805,0.07915789,28577.89,49.34,0.507317073,1025,1.85
SUMATERA SELATAN,2013,KBI,4.84,3.78,0.003673916,0.409,67.12,85,14.06,0.375,7.53,66.16,4227,138363,26.09,7829,3673915.564,0.079905141,29656.76,51.32,0.522926829,1025,2.49
SUMATERA SELATAN,2014,KBI,4.96,3.3,0.003515422,0.438,74.82,87,13.62,0.381,7.66,66.75,4336,344044,30.19,7942,3515421.711,0.077549711,30636.27,52.09,0.522923588,1505,2.41
SUMATERA SELATAN,2015,KBI,6.07,2.98,0.003338136,0.39,79.81,88,13.77,0.334,7.77,67.46,4450,582044,35.74,8052,3338136.319,0.076630074,31549.3,53.31,0.5215311,1463,1.88
BENGKULU,2010,KBI,5.57,0,0.000970554,0.319,70.78,86,18.3,0.365,7.85,65.35,1313,71210,40.31,1716,970553.7717,0.200385798,16463.68,48.66,0.506864989,1748,2.75
BENGKULU,2011,KBI,6.38,4.97,0.000931785,0.386,71.36,88,17.5,0.372,7.93,65.96,1379,70616,22.97,1753,931785.1758,0.195660065,17282.27,50.13,0.506864989,1748,2.6
BENGKULU,2012,KBI,5.2,4.98,0.001180001,0.39,61.7,90,17.51,0.36,8.01,66.61,1415,61033,26.3,1784,1180000.557,0.193300676,18143.51,50.07,0.506864989,1748,3.05
BENGKULU,2013,KBI,5.69,4.28,0.001073278,0.432,59.17,91,17.75,0.372,8.09,67.5,1608,142796,28.41,1814,1073277.992,0.19150196,18919.3,51.66,0.52173913,1748,3.24
