provinsi,year,wilayah,tpt,pe,defis,ginim,idi,popd,pvty (Head Count Index ),ginis,sch,hdi,nac,shuc,internet,pop,exp,psectorsize,gdpc,femaleprof,glroadprov,tlroadprov,pgi
KALIMANTAN SELATAN,2015,KTI,7.5,2.08,0.003044687,0.377,74.76,103,4.72,0.334,7.76,68.38,1769,132766,44.99,3990,3044687.363,0.116209794,27786.68,45.03,0.522300469,852,0.98
KALIMANTAN TIMUR,2010,KTI,,0,0.007535741,0.31,73.04,17,7.66,0.368,8.56,71.31,3458,86002,22.36,3553,7535741.449,0.03656208,116946.31,37.56,0.506435006,1554,1.27
KALIMANTAN TIMUR,2011,KTI,,3.63,0.008856792,0.366,66.37,18,6.77,0.323,8.79,72.02,3458,86002,37.38,3674,8856791.851,0.036695056,121196.23,40.65,0.506435006,1554,0.92
KALIMANTAN TIMUR,2012,KTI,,2.73,0.009872666,0.353,71.23,18,6.38,0.363,8.83,72.62,3458,86002,42.92,3772,9872665.75,0.037239957,124501.88,39.17,0.506435006,1554,0.99
KALIMANTAN TIMUR,2013,KTI,,0.15,0.007876097,0.369,68.13,19,6.38,0.366,8.87,73.21,3950,129230,44.31,3871,7876097.118,0.03998008,133868.68,43.14,0.521235521,1554,1.25
KALIMANTAN TIMUR,2014,KTI,,-0.58,0.006941427,0.336,77.77,26,6.31,0.361,9.04,73.82,3524,116863,48.54,3970,6941426.622,0.039374698,133086.11,41.3,0.521341463,1640,0.79
KALIMANTAN TIMUR,2015,KTI,5.68,-3.37,0.005190276,0.313,81.24,27,6.1,0.315,9.15,74.17,3501,231361,55.03,3427,5190276.284,0.037889709,128603.13,42.4,0.521341463,1640,0.69
KALIMANTAN UTARA,2010,KTI,9.61,,,,,,,,,,,,,,,0.095293713,,,,,
KALIMANTAN UTARA,2011,KTI,10.1,,,,,,,,,,,,,,,0.090661316,,,,,
KALIMANTAN UTARA,2012,KTI,7.98,,,,,,,,,,,,,,,0.089856477,,,,,1.18
KALIMANTAN UTARA,2013,KTI,6.79,,,,,,,,8.1,67.99,,,,,,0.100399211,74106.93,36.27,,,
KALIMANTAN UTARA,2014,KTI,7.54,4.11,0.001027927,,,,,,8.35,68.64,426,12367,,,1027926.896,0.09849268,77152.6,38.59,,,
KALIMANTAN UTARA,2015,KTI,9.03,-0.43,0.001455195,0.298,80.16,,6.32,0.314,8.36,68.76,512,12289,47.63,642,1455195.063,0.085592177,76823.46,39.7,0.521111111,900,0.7
SULAWESI UTARA,2010,KTI,4.61,0,0.001444844,0.34,65.94,164,9.1,0.37,8.66,67.83,3185,14867,19.77,2271,1444844.134,0.162845585,22707.79,53.36,0.505844846,941,1.14
SULAWESI UTARA,2011,KTI,6.78,4.87,0.001138981,0.401,71.19,166,8.51,0.358,8.68,68.31,2970,5742,31.2,2306,1138980.655,0.169162463,23812.97,51.04,0.505844846,941,1.1
SULAWESI UTARA,2012,KTI,3.95,5.6,0.00135712,0.455,76.5,168,7.64,0.43,8.71,69.04,3359,8064,32.29,2334,1357119.844,0.169410562,25145.96,52.02,0.505844846,941,2.82
SULAWESI UTARA,2013,KTI,4.19,5.17,0.001200735,0.425,73.11,170,8.5,0.446,8.79,69.49,3396,17892,35.26,2360,1200735.178,0.170481025,26445.86,51.88,0.505844846,941,1.16
SULAWESI UTARA,2014,KTI,3.68,5.14,0.001446218,0.464,83.94,172,8.26,0.436,8.86,69.96,3426,11404,39.1,2387,1446217.575,0.173862246,27805.52,52.45,0.505319149,940,1.28
SULAWESI UTARA,2015,KTI,4.1,5,0.001560279,0.386,79.4,174,8.98,0.366,8.88,70.39,2927,13342,45.32,2412,1560279.15,0.180106123,29196.47,55.16,0.505606524,981,1.54
SULAWESI TENGAH,2010,KTI,8.37,0,0.001299913,0.334,66.63,43,18.07,0.366,7.65,63.29,1198,13850,23.57,2635,1299913.405,0.154766441,19558.53,48.4,0.504901961,408,3.09
SULAWESI TENGAH,2011,KTI,8.13,7.91,0.001259691,0.389,64,44,15.83,0.388,7.69,64.27,1197,16928,18.09,2693,1259691.228,0.149685916,21105.7,51,0.504901961,408,2.76
SULAWESI TENGAH,2012,KTI,6.01,7.67,0.001456078,0.399,64.97,44,14.94,0.387,7.73,65,1295,29232,20.01,2739,1456078.174,0.143863628,22724.47,50.03,0.504901961,408,1.68
SULAWESI TENGAH,2013,KTI,5.1,7.77,0.001341684,0.445,64.5,45,14.32,0.391,7.82,65.79,1323,49343,22.81,2786,1341684.46,0.137979189,24490.98,50.65,0.524509804,408,2.28
SULAWESI TENGAH,2014,KTI,5.08,3.37,0.001456314,0.406,74.36,46,13.61,0.352,7.89,66.43,1470,32381,24.08,2831,1456313.892,0.137704023,25316.27,51.92,0.524249423,433,2.11
SULAWESI TENGAH,2015,KTI,5.95,13.68,0.001681369,0.425,76.67,47,14.07,0.37,7.97,66.76,1495,31944,32.31,2877,1681368.637,0.129442935,28778.64,48.3,0.520691785,1619,2.37
SULAWESI SELATAN,2010,KTI,4.61,0,0.002681583,0.361,56.67,173,11.6,0.404,7.29,66,5105,235611,19.47,8035,2681583.352,0.11982057,21306.72,49.03,0.506136475,2037,1.91
SULAWESI SELATAN,2011,KTI,4.69,6.86,0.00262632,0.395,65.31,175,10.29,0.427,7.33,66.65,5523,131997,25.68,8156,2626319.653,0.116017253,22769.19,50.71,0.506136475,2037,1.65
SULAWESI SELATAN,2012,KTI,4.14,7.63,0.003115375,0.407,68.55,177,9.82,0.418,7.37,67.26,5442,192523,29.16,8250,3115374.748,0.111042236,24507.17,51.94,0.506136475,2037,1.92
SULAWESI SELATAN,2013,KTI,4.38,6.43,0.003420666,0.443,65.2,179,10.32,0.432,7.45,67.92,5051,263586,30.67,8342,3420665.992,0.105969007,26083.42,52.73,0.520864016,2037,1.65
SULAWESI SELATAN,2014,KTI,4.43,6.39,0.003287699,0.436,75.3,180,9.54,0.448,7.49,68.49,5318,630953,33.71,8432,3287698.936,0.100453922,27749.47,50.73,0.520691785,1619,1.41
SULAWESI SELATAN,2015,KTI,5.55,6.08,0.003551346,0.421,67.9,182,10.12,0.404,7.64,69.15,5404,473325,41.47,8520,3551345.707,0.101304297,29435.92,52.95,0.520666667,1500,1.58
SULAWESI TENGGARA,2010,KTI,5.16,0,0.001114434,0.351,54.79,59,17.05,0.421,7.57,65.99,2323,40464,23.54,2233,1114434.381,0.159348434,21573.11,47.16,0.506349206,1260,3.18
SULAWESI TENGGARA,2011,KTI,6.74,8.18,0.001148814,0.406,57.56,60,14.56,0.389,7.67,66.52,2510,8145,17.31,2294,1148813.729,0.1741517,23338.07,46.69,0.506349206,1260,2.61
SULAWESI TENGGARA,2012,KTI,4.47,9.22,0.001230765,0.417,57.26,62,13.06,0.403,7.76,67.07,2510,8145,22.34,2346,1230764.889,0.158104605,25489.79,44.69,0.506349206,1260,3.21
SULAWESI TENGGARA,2013,KTI,4.15,5.2,0.001261055,0.459,52.61,63,13.73,0.391,7.93,67.55,2443,3522,24.12,2397,1261054.798,0.15672967,26815.36,45.44,0.520634921,1260,1.83
SULAWESI TENGGARA,2014,KTI,4.18,4.03,0.001418292,0.454,70.13,64,12.77,0.399,8.02,68.07,2616,13373,28.1,2448,1418291.917,0.15102245,27896.05,46.47,0.520905923,1148,2.09
SULAWESI TENGGARA,2015,KTI,4.65,4.68,0.001597933,0.414,69.44,66,13.74,0.381,8.18,68.75,2697,39951,35.76,2500,1597932.86,0.147589859,29202.7,48.73,0.523290387,1009,2.05
GORONTALO,2010,KTI,3.25,0,0.000631873,0.438,64.97,93,23.19,0.431,6.85,62.65,666,18265,12.59,1040,631872.9093,0.235385774,14811.95,54.98,0.507936508,441,4.14
GORONTALO,2011,KTI,3.35,5.91,0.000613452,0.418,62.77,94,18.75,0.4,6.89,63.48,682,18348,21.45,1063,613452.3538,0.236744724,15687.65,53.92,0.507936508,441,3.72
GORONTALO,2012,KTI,2.16,6.14,0.000668588,0.398,59.37,96,17.22,0.413,6.92,64.16,707,17898,26.3,1080,668587.8332,0.231777313,16650.27,57.62,0.507936508,441,1.74
GORONTALO,2013,KTI,2.35,5.94,0.000674801,0.385,67.21,98,18.01,0.445,6.96,64.7,706,22111,30.77,1098,674800.9313,0.229108686,17639.12,56.63,0.507936508,441,3.22
GORONTALO,2014,KTI,2.08,5.57,0.000732334,0.409,73.82,99,17.41,0.453,6.97,65.17,741,27134,34.87,1116,732334.344,0.219266868,18622.44,58.19,0.508310249,722,3.13
GORONTALO,2015,KTI,3.35,4.57,0.000817224,0.423,76.77,101,18.16,0.401,7.05,65.86,644,23313,37.92,1133,817223.6802,0.219423032,19474.13,58.53,0.524249423,433,3.08
SULAWESI BARAT,2010,KTI,9.97,0,0.000607992,0.33,68.82,69,13.58,0.364,6.63,59.74,447,6322,7.18,1159,607992.2105,0.185798105,14755.47,47.08,0.50716091,1187,1.55
SULAWESI BARAT,2011,KTI,10.81,8.59,0.000574998,0.374,66.36,71,13.89,0.371,6.65,60.63,513,1326,13.67,1188,574998.4822,0.17901968,16023.45,51.85,0.50800337,1187,2.32
SULAWESI BARAT,2012,KTI,7.71,7.15,0.000655775,0.354,63.65,72,13.01,0.335,6.76,61.01,534,1326,16.23,1211,655775.0302,0.171018506,17169.06,51.65,0.50800337,1187,4.38
SULAWESI BARAT,2013,KTI,9.91,4.89,0.000694195,0.428,64.02,74,12.23,0.324,6.87,61.53,705,7037,18.24,1234,694194.8996,0.164975466,18008.81,52.22,0.52316765,1187,1.3
SULAWESI BARAT,2014,KTI,10.51,6.79,0.0007706,0.329,76.69,75,12.05,0.378,6.88,62.24,735,8749,20.94,1258,770599.963,0.162342349,19232.05,51.1,0.523178808,906,1.94
SULAWESI BARAT,2015,KTI,9.93,5.3,0.000815797,0.395,68.25,76,11.9,0.362,6.94,62.96,735,10910,26.81,1282,815797.1768,0.168104815,20250.51,53.28,0.510752688,186,1.54
MALUKU,2010,KTI,6.03,0,0.000970185,0.322,69.51,33,27.74,0.329,8.64,64.27,1870,21445,15.3,1534,970184.9207,0.386729505,11951.84,42.44,0.506203474,1612,5.23
MALUKU,2011,KTI,5.34,4.4,0.000921756,0.402,68.38,33,23,0.356,8.72,64.75,1912,3839,19.55,1571,921755.697,0.399956081,12477.19,50.81,0.506203474,1612,4.99
MALUKU,2012,KTI,4.82,5.22,0.00101565,0.373,59.68,34,20.76,0.382,8.8,65.43,2090,12262,22.89,1600,1015649.686,0.406395569,13129.11,49.68,0.506203474,1612,0.85
MALUKU,2013,KTI,3.8,3.37,0.000965985,0.356,66.23,35,19.27,0.347,8.81,66.09,2160,3857,24.26,1628,965985.4764,0.410438505,13572.07,48.95,0.520471464,1612,3.52
MALUKU,2014,KTI,5.29,4.77,0.00107617,0.338,72.72,35,18.44,0.33,9.15,66.74,2370,32683,28.52,1657,1076169.542,0.397959232,14219.62,48.79,0.520431766,1297,4.11
MALUKU,2015,KTI,6.05,3.66,0.001275681,0.312,65.9,36,19.36,0.338,9.16,67.05,2418,34848,34.82,1687,1275680.935,0.409675858,14740.38,49.71,0.520801233,1298,4.79
MALUKU UTARA,2010,KTI,7.68,0,0.000670463,0.278,59.92,33,9.42,0.336,7.91,62.79,778,10662,14.6,1038,670463.4498,0.281328344,14361.54,46.94,0.506159614,1867,1.47
MALUKU UTARA,2011,KTI,6.73,4.41,0.000735541,0.316,59.17,33,9.18,0.343,7.98,63.19,848,18582,13.18,1067,735540.5714,0.299068337,14994.63,46.27,0.506159614,1867,1.13
MALUKU UTARA,2012,KTI,5.42,4.64,0.000936327,0.327,66.83,34,8.06,0.306,8.04,63.93,820,17831,14.3,1091,936326.9059,0.303806797,15691.01,47.85,0.506159614,1867,5.71
MALUKU UTARA,2013,KTI,4.4,4.09,0.000864215,0.282,64.06,35,7.64,0.32,8.27,64.78,777,18189,16.87,1115,864214.8164,0.308597276,16332.22,43.24,0.506159614,1867,0.89
MALUKU UTARA,2014,KTI,5.02,3.29,0.000862444,0.335,67.9,36,7.41,0.322,8.34,65.18,831,13566,20.26,1139,862443.6383,0.313088681,16869.52,49.28,0.506159614,1867,1.16
MALUKU UTARA,2015,KTI,8.08,3.94,0.001027464,0.282,61.52,36,6.22,0.286,8.37,65.91,640,33969,25.34,1162,1027464.369,0.311866851,17533.78,44.57,0.50587314,1277,1.15
PAPUA BARAT,2010,KTI,3.55,0,0.003394017,0.346,67.75,8,34.88,0.381,6.77,59.6,515,6975,17.24,760,3394016.516,0.163962071,54049.32,40.17,0.506673785,1873,10.47
PAPUA BARAT,2011,KTI,5.02,0.91,0.003129784,0.335,61.78,8,31.92,0.374,6.82,59.9,515,6975,20.56,786,3129784.259,0.168801537,54539.86,38.92,0.506673785,1873,8.78
PAPUA BARAT,2012,KTI,3.71,0.93,0.002864073,0.42,65.7,8,27.04,0.407,6.87,60.3,515,6975,24.89,807,2864072.774,0.179120472,55047.84,38.81,0.506673785,1873,7.35
PAPUA BARAT,2013,KTI,3.15,4.6,0.002576879,0.391,60.7,9,27.14,0.418,6.91,60.91,610,130355,22.88,828,2576879.055,0.179437335,57581.36,39.56,0.521623065,1873,5.89
PAPUA BARAT,2014,KTI,3.44,2.71,0.003993262,0.437,65.65,9,26.26,0.405,6.96,61.28,785,101188,27.52,850,3993262.258,0.174919666,59142.59,37.03,0.521681121,1499,5.92
PAPUA BARAT,2015,KTI,3.99,1.56,0.00415511,0.343,59.97,9,25.73,0.428,7.01,61.73,708,14516,34.61,872,4155110.347,0.175272473,60064.13,37.52,0.508225108,2310,5.29
PAPUA,2010,KTI,7.14,0,0.005569277,0.408,60.26,9,36.8,0.414,5.59,54.45,1182,25499,12.08,2833,5569276.758,0.164153439,38785.11,42.93,0.506891271,1306,9.36
PAPUA,2011,KTI,7.48,-6.19,0.005547096,0.335,59.05,9,31.98,0.384,5.6,55.01,1182,25500,10.66,2915,5547095.688,0.178255709,36383.24,38.33,0.506891271,1306,7.86
PAPUA,2012,KTI,6.13,-0.28,0.00552607,0.384,60.71,9,30.66,0.446,5.73,55.55,1372,19758,11.73,2974,5526069.503,0.188257274,36280.03,31.56,0.507656968,1306,1.9
PAPUA,2013,KTI,6.17,6.45,0.004973899,0.409,60.92,10,31.53,0.441,5.74,56.25,1676,32072,10.98,3033,4973898.545,0.188560399,38621.36,34.19,0.507656968,1306,6.56
PAPUA,2014,KTI,5.94,1.68,0.006495124,0.35,62.15,10,27.8,0.459,5.76,56.75,1784,45985,11.99,3091,6495123.631,0.197603937,39271.88,35.23,0.508070175,1425,6.42
PAPUA,2015,KTI,6.18,5.36,0.007188775,0.339,57.55,10,28.4,0.392,5.99,57.25,1711,47905,16.28,3149,7188775.384,0.193541887,41376.97,34.08,0.521636241,2958,0.85
